package_ndc,generic_name,dosage_form,presentation,company_name,initial_posting_date,update_date,discontinued_date,availability,status,shortage_reason,therapeutic_category,update_type,related_info,shortage,manufacturer_count,shortage_frequency,drug_shortage_frequency,log_drug_freq,complexity_Low,complexity_Medium
63323-202-02,Lidocaine Hydrochloride Injection,Injection,"Lidocaine Hydrochloride, Injection, 20 mg/1 mL (NDC 63323-202-02)","Fresenius Kabi USA, LLC",2012-02-22,2026-04-02,,Available,Current,Unavailable,"Anesthesia, Pediatric",Reverified,Check wholesalers for inventory,0,10,1,70,4.2626798770413155,False,False
72205-134-91,"Lisdexamfetamine Dimesylate Tablet, Chewable","Tablet, Chewable","Lisdexamfetamine Dimesylate, Tablet, Chewable, 30 mg (NDC 72205-134-91)",Novadoz Pharmaceuticals LLC,2023-07-14,2026-04-02,,Available,Current,Shortage of an active ingredient,Psychiatry,Reverified,Limited supply from Manufacturers,0,3,1,18,2.9444389791664403,True,False
63323-178-76,Sterile Water Injection,Injection,"Sterile Water, Injection, 1000 mL/1000 mL (NDC 63323-178-76)","Fresenius Kabi USA, LLC",2021-11-23,2026-04-02,,Available,Current,Unavailable,Other,Reverified,Check wholesalers for inventory,0,5,1,12,2.5649493574615367,False,False
60505-4739-1,Lisdexamfetamine Dimesylate Capsule,Capsule,"Lisdexamfetamine Dimesylate, Capsule, 10 mg (NDC 60505-4739-1)",Apotex Corp.,2023-11-01,2026-04-02,,Available,Current,Unavailable,Psychiatry,Reverified,,0,13,1,90,4.51085950651685,True,False
63323-492-57,Lidocaine Hydrochloride Injection,Injection,"Xylocaine, Injection, 10 mg/1 mL (NDC 63323-492-57)","Fresenius Kabi USA, LLC",2012-02-22,2026-04-02,,Available,Current,Unavailable,"Anesthesia, Pediatric",Reverified,Check wholesalers for inventory,0,10,1,70,4.2626798770413155,False,False
63323-280-02,Furosemide Injection,Injection,"Furosemide, Injection, 10 mg/1 mL (NDC 63323-280-02)","Fresenius Kabi USA, LLC",2020-04-07,2026-04-02,,Available,Current,Unavailable,Cardiovascular,Reverified,Check wholesalers for inventory,0,9,1,33,3.5263605246161616,False,False
65219-464-50,Dextrose Monohydrate 5% Injection,Injection,"Dextrose 5% In Plastic Container, Injection, 50 mg/1 mL (NDC 65219-464-50)","Fresenius Kabi USA, LLC",2022-02-14,2026-04-02,,Available,Current,Unavailable,"Endocrinology/Metabolism, Gastroenterology, Other, Pediatric",Reverified,Check wholesalers for inventory,0,4,1,36,3.6109179126442243,False,False
63323-489-27,"Epinephrine Bitartrate, Lidocaine Hydrochloride Injection",Injection,"Xylocaine, Injection, .005 mg/1 mL; 20 mg/1 mL (NDC 63323-489-27)","Fresenius Kabi USA, LLC",2016-10-14,2026-04-02,,Available,Current,Unavailable,"Anesthesia, Pediatric",Reverified,Check wholesalers for inventory,0,2,1,22,3.1354942159291497,False,False
63323-286-23,Ropivacaine Hydrochloride Injection,Injection,"Naropin, Injection, 5 mg/1 mL (NDC 63323-286-23)","Fresenius Kabi USA, LLC",2018-03-23,2026-04-02,,Available,Current,Unavailable,Anesthesia,Reverified,,0,5,1,46,3.8501476017100584,False,False
60505-6282-1,Carboplatin Injection,Injection,"Carboplatin, Injection, 50 mg/5 mL (10 mg/mL) Multiple Dose Vial (NDC 60505-6282-1)",Teyro Labs,2023-04-28,2026-04-02,,Unavailable,Current,Discontinuation of the manufacture of the drug,Oncology,Reverified,Discontinuation of the manufacture of the drug.,1,8,1,29,3.4011973816621555,False,False
65219-572-10,Bumetanide Injection,Injection,"Bumetanide, Injection, .25 mg/1 mL (NDC 65219-572-10)","Fresenius Kabi USA, LLC",2018-01-31,2026-04-02,,Available,Current,Unavailable,Cardiovascular,Reverified,Check wholesalers for inventory,0,5,1,12,2.5649493574615367,False,False
47781-176-01,"Amphetamine Aspartate Monohydrate, Amphetamine Sulfate, Dextroamphetamine Saccharate, Dextroamphetamine Sulfate Tablet",Tablet,"Dextroamp Saccharate, Amp Aspartate, Dextroamp Sulfate And Amp Sulfate, Tablet, 10mg (NDC 47781-176-01)",Alvogen,2022-10-12,2026-04-02,,Available,Current,Unavailable,Psychiatry,Reverified,,0,11,1,73,4.30406509320417,True,False
63323-492-27,Lidocaine Hydrochloride Injection,Injection,"Xylocaine, Injection, 10 mg/1 mL (NDC 63323-492-27)","Fresenius Kabi USA, LLC",2012-02-22,2026-04-02,,Available,Current,Unavailable,"Anesthesia, Pediatric",Reverified,Check wholesalers for inventory,0,10,1,70,4.2626798770413155,False,False
63323-285-64,Ropivacaine Hydrochloride Injection,Injection,"Naropin, Injection, 2 mg/1 mL (NDC 63323-285-64)","Fresenius Kabi USA, LLC",2018-03-23,2026-04-02,,Available,Current,Unavailable,Anesthesia,Reverified,,0,5,1,46,3.8501476017100584,False,False
63323-412-25,Midazolam Hydrochloride Injection,Injection,"Midazolam Hydrochloride, Injection, 5 mg/1 mL (NDC 63323-412-25)","Fresenius Kabi USA, LLC",2020-04-02,2026-04-02,,Unavailable,Current,Demand increase for the drug,"Anesthesia, Neurology",Reverified,Next release April 2026. Check wholesalers for inventory.,1,6,1,30,3.4339872044851463,False,False
76045-106-10,Dexamethasone Sodium Phosphate Injection,Injection,"Dexamethasone Sodium Phosphate, Injection, 4 mg/1 mL (NDC 76045-106-10)","Fresenius Kabi USA, LLC",2019-02-08,2026-04-02,,Unavailable,Current,Demand increase for the drug,"Dermatology, Endocrinology/Metabolism, Gastroenterology, Hematology, Neurology, Oncology, Ophthalmology, Other, Pulmonary/Allergy, Rheumatology",Reverified,Expected recovery: TBD,1,5,1,16,2.833213344056216,False,False
63323-464-37,Bupivacaine Hydrochloride Injection,Injection,"Sensorcaine, Injection, 2.5 mg/1 mL (NDC 63323-464-37)","Fresenius Kabi USA, LLC",2018-02-20,2026-04-02,,Available,Current,Unavailable,Anesthesia,Reverified,Check wholesalers for inventory,0,6,1,42,3.7612001156935624,False,False
63323-506-01,Dexamethasone Sodium Phosphate Injection,Injection,"Dexamethasone Sodium Phosphate Preservative Free, Injection, 10 mg/1 mL (NDC 63323-506-01)","Fresenius Kabi USA, LLC",2019-02-08,2026-04-02,,Available,Current,Unavailable,"Dermatology, Endocrinology/Metabolism, Gastroenterology, Hematology, Neurology, Oncology, Ophthalmology, Other, Pulmonary/Allergy, Rheumatology",Reverified,Check wholesalers for inventory,0,5,1,16,2.833213344056216,False,False
63323-486-57,Lidocaine Hydrochloride Injection,Injection,"Xylocaine, Injection, 20 mg/1 mL (NDC 63323-486-57)","Fresenius Kabi USA, LLC",2012-02-22,2026-04-02,,Available,Current,Unavailable,"Anesthesia, Pediatric",Reverified,Check wholesalers for inventory,0,10,1,70,4.2626798770413155,False,False
63323-412-10,Midazolam Hydrochloride Injection,Injection,"Midazolam Hydrochloride, Injection, 5 mg/1 mL (NDC 63323-412-10)","Fresenius Kabi USA, LLC",2020-04-02,2026-04-02,,Unavailable,Current,Demand increase for the drug,"Anesthesia, Neurology",Reverified,Expected recovery: TBD,1,6,1,30,3.4339872044851463,False,False
63323-286-35,Ropivacaine Hydrochloride Injection,Injection,"Naropin, Injection, 5 mg/1 mL (NDC 63323-286-35)","Fresenius Kabi USA, LLC",2018-03-23,2026-04-02,,Available,Current,Unavailable,Anesthesia,Reverified,,0,5,1,46,3.8501476017100584,False,False
63323-493-97,Lidocaine Hydrochloride Injection,Injection,"Xylocaine, Injection, 15 mg/1 mL (NDC 63323-493-97)","Fresenius Kabi USA, LLC",2012-02-22,2026-04-02,,Unavailable,Current,Demand increase for the drug,"Anesthesia, Pediatric",Reverified,Expected recovery: TBD,1,10,1,70,4.2626798770413155,False,False
47781-565-01,Lisdexamfetamine Dimesylate Capsule,Capsule,"Lisdexamfetamine Dimesylate, Capsule, 40 mg (NDC 47781-565-01)",Alvogen,2023-07-14,2026-04-02,,Available,Current,Unavailable,Psychiatry,Reverified,,0,13,1,90,4.51085950651685,True,False
63323-806-02,Fentanyl Citrate Injection,Injection,"Fentanyl Citrate Preservative Free, Injection, .05 mg/1 mL (NDC 63323-806-02)","Fresenius Kabi USA, LLC",2012-01-01,2026-04-02,,Unavailable,Current,Other,"Analgesia/Addiction, Pediatric",Reverified,Next release May 2026. Check wholesalers for inventory.,1,3,1,19,2.995732273553991,False,False
63323-462-17,"Bupivacaine Hydrochloride, Epinephrine Bitartrate Injection",Injection,"Sensorcaine, Injection, 5 mg/1 mL; .005 mg/1 mL (NDC 63323-462-17)","Fresenius Kabi USA, LLC",2018-02-20,2026-04-02,,Available,Current,Unavailable,Anesthesia,Reverified,Check wholesalers for inventory,0,2,1,20,3.044522437723423,False,False
63323-412-02,Midazolam Hydrochloride Injection,Injection,"Midazolam Hydrochloride, Injection, 5 mg/1 mL (NDC 63323-412-02)","Fresenius Kabi USA, LLC",2020-04-02,2026-04-02,,Available,Current,Unavailable,"Anesthesia, Neurology",Reverified,Check wholesalers for inventory,0,6,1,30,3.4339872044851463,False,False
76329-3302-1,Dextrose Monohydrate 50% Injection,Injection,"Dextrose Monohydrate 50%, Injection, 25 g/50 mL (NDC 76329-3302-1)","Amphastar Pharmaceuticals, Inc.",2022-01-13,2026-04-02,,Limited Availability,Current,Demand increase for the drug,"Endocrinology/Metabolism, Gastroenterology, Pediatric",Reverified,Avaiable on allocation,1,2,1,5,1.791759469228055,False,False
63323-208-05,Lidocaine Hydrochloride Injection,Injection,"Lidocaine Hydrochloride Preservative Free, Injection, 20 mg/1 mL (NDC 63323-208-05)","Fresenius Kabi USA, LLC",2012-02-22,2026-04-02,,Available,Current,Unavailable,"Anesthesia, Pediatric",Reverified,Check wholesalers for inventory,0,10,1,70,4.2626798770413155,False,False
60505-4744-1,Lisdexamfetamine Dimesylate Capsule,Capsule,"Lisdexamfetamine Dimesylate, Capsule, 60 mg (NDC 60505-4744-1)",Apotex Corp.,2023-11-01,2026-04-02,,Available,Current,Unavailable,Psychiatry,Reverified,,0,13,1,90,4.51085950651685,True,False
47781-566-01,Lisdexamfetamine Dimesylate Capsule,Capsule,"Lisdexamfetamine Dimesylate, Capsule, 50 mg (NDC 47781-566-01)",Alvogen,2023-07-14,2026-04-02,,Available,Current,Unavailable,Psychiatry,Reverified,,0,13,1,90,4.51085950651685,True,False
63323-466-37,Bupivacaine Hydrochloride Injection,Injection,"Sensorcaine, Injection, 5 mg/1 mL (NDC 63323-466-37)","Fresenius Kabi USA, LLC",2018-02-20,2026-04-02,,Available,Current,Unavailable,Anesthesia,Reverified,Check wholesalers for inventory,0,6,1,42,3.7612001156935624,False,False
63323-496-97,Lidocaine Hydrochloride Injection,Injection,"Xylocaine, Injection, 20 mg/1 mL (NDC 63323-496-97)","Fresenius Kabi USA, LLC",2012-02-22,2026-04-02,,Unavailable,Current,Demand increase for the drug,"Anesthesia, Pediatric",Reverified,Expected recovery: TBD,1,10,1,70,4.2626798770413155,False,False
63323-482-27,"Epinephrine Bitartrate, Lidocaine Hydrochloride Injection",Injection,"Xylocaine, Injection, .01 mg/1 mL; 10 mg/1 mL (NDC 63323-482-27)","Fresenius Kabi USA, LLC",2016-10-14,2026-04-02,,Available,Current,Unavailable,"Anesthesia, Pediatric",Reverified,Check wholesalers for inventory,0,2,1,22,3.1354942159291497,False,False
60505-4741-1,Lisdexamfetamine Dimesylate Capsule,Capsule,"Lisdexamfetamine Dimesylate, Capsule, 30 mg (NDC 60505-4741-1)",Apotex Corp.,2023-11-01,2026-04-02,,Available,Current,Unavailable,Psychiatry,Reverified,,0,13,1,90,4.51085950651685,True,False
76045-107-10,Ketorolac Tromethamine Injection,Injection,"Ketorolac Tromethamine, Injection, 15 mg/1 mL (NDC 76045-107-10)","Fresenius Kabi USA, LLC",2018-03-23,2026-04-02,,Unavailable,Current,Other,Analgesia/Addiction,Reverified,Expected recovery: TBD,1,7,1,25,3.258096538021482,False,False
63323-671-00,Dexmedetomidine Hydrochloride Injection,Injection,"Dexmedetomidine Hydrochloride, Injection, 4 ug/1 mL (NDC 63323-671-00)","Fresenius Kabi USA, LLC",2020-04-10,2026-04-02,,Unavailable,Current,Delay in shipping of the drug,Anesthesia,Reverified,Expected recovery: TBD,1,14,1,52,3.970291913552122,False,False
76329-3340-1,Atropine Sulfate Injection,Injection,"Atropine Sulfate, Injection, .1 mg/1 mL (NDC 76329-3340-1)","Amphastar Pharmaceuticals, Inc.",2020-01-01,2026-04-02,,Available,Current,Unavailable,"Anesthesia, Neurology, Pediatric",Reverified,,0,7,1,18,2.9444389791664403,False,False
63323-519-77,Heparin Sodium Injection,Injection,"Heparin Sodium, Injection, 200 [USP'U]/100 mL (NDC 63323-519-77)","Fresenius Kabi USA, LLC",2017-11-14,2026-04-02,,Available,Current,Unavailable,Hematology,Reverified,Check wholesalers for inventory,0,4,1,10,2.3978952727983707,False,False
63323-286-31,Ropivacaine Hydrochloride Injection,Injection,"Naropin, Injection, 5 mg/1 mL (NDC 63323-286-31)","Fresenius Kabi USA, LLC",2018-03-23,2026-04-02,,Unavailable,Current,Delay in shipping of the drug,Anesthesia,Reverified,Expected recovery: TBD,1,5,1,46,3.8501476017100584,False,False
63323-285-20,Ropivacaine Hydrochloride Injection,Injection,"Naropin, Injection, 2 mg/1 mL (NDC 63323-285-20)","Fresenius Kabi USA, LLC",2018-03-23,2026-04-02,,Unavailable,Current,Other,Anesthesia,Reverified,Expected recovery: TBD,1,5,1,46,3.8501476017100584,False,False
63323-351-20,Rifampin Injection,Injection,"Rifampin, Injection, 600 mg (NDC 63323-351-20)","Fresenius Kabi USA, LLC",2021-02-17,2026-04-02,,Available,Current,Unavailable,Anti-Infective,Reverified,Check wholesalers for inventory,0,3,1,3,1.3862943611198906,False,False
63323-411-12,Midazolam Hydrochloride Injection,Injection,"Midazolam Hydrochloride, Injection, 1 mg/1 mL (NDC 63323-411-12)","Fresenius Kabi USA, LLC",2020-04-02,2026-04-02,,Available,Current,Unavailable,"Anesthesia, Neurology",Reverified,Check wholesalers for inventory,0,6,1,30,3.4339872044851463,False,False
63323-288-10,Ropivacaine Hydrochloride Injection,Injection,"Naropin, Injection, 10 mg/1 mL (NDC 63323-288-10)","Fresenius Kabi USA, LLC",2018-03-23,2026-04-02,,Unavailable,Current,Delay in shipping of the drug,Anesthesia,Reverified,Expected recovery: TBD,1,5,1,46,3.8501476017100584,False,False
63323-162-02,Ketorolac Tromethamine Injection,Injection,"Ketorolac Tromethamine, Injection, 30 mg/1 mL (NDC 63323-162-02)","Fresenius Kabi USA, LLC",2018-03-23,2026-04-02,,Unavailable,Current,Delay in shipping of the drug,Analgesia/Addiction,Reverified,Next release April 2026. Check wholesalers for inventory.,1,7,1,25,3.258096538021482,False,False
76045-109-10,Dexamethasone Sodium Phosphate Injection,Injection,"Dexamethasone Sodium Phosphate, Injection, 10 mg/1 mL (NDC 76045-109-10)","Fresenius Kabi USA, LLC",2019-02-08,2026-04-02,,Available,Current,Unavailable,"Dermatology, Endocrinology/Metabolism, Gastroenterology, Hematology, Neurology, Oncology, Ophthalmology, Other, Pulmonary/Allergy, Rheumatology",Reverified,Check wholesalers for inventory,0,5,1,16,2.833213344056216,False,False
63323-462-31,"Bupivacaine Hydrochloride, Epinephrine Bitartrate Injection",Injection,"Sensorcaine, Injection, 5 mg/1 mL; .005 mg/1 mL (NDC 63323-462-31)","Fresenius Kabi USA, LLC",2018-02-20,2026-04-02,,Unavailable,Current,Delay in shipping of the drug,Anesthesia,Reverified,Expected recovery: TBD,1,2,1,20,3.044522437723423,False,False
63323-465-57,Bupivacaine Hydrochloride Injection,Injection,"Sensorcaine, Injection, 2.5 mg/1 mL (NDC 63323-465-57)","Fresenius Kabi USA, LLC",2018-02-20,2026-04-02,,Available,Current,Unavailable,Anesthesia,Reverified,Check wholesalers for inventory,0,6,1,42,3.7612001156935624,False,False
63323-466-17,Bupivacaine Hydrochloride Injection,Injection,"Sensorcaine, Injection, 5 mg/1 mL (NDC 63323-466-17)","Fresenius Kabi USA, LLC",2018-02-20,2026-04-02,,Available,Current,Unavailable,Anesthesia,Reverified,Check wholesalers for inventory,0,6,1,42,3.7612001156935624,False,False
76045-104-10,Ketorolac Tromethamine Injection,Injection,"Ketorolac Tromethamine, Injection, 30 mg/1 mL (NDC 76045-104-10)","Fresenius Kabi USA, LLC",2018-03-23,2026-04-02,,Unavailable,Current,Other,Analgesia/Addiction,Reverified,Expected recovery: TBD,1,7,1,25,3.258096538021482,False,False
63323-122-50,Methotrexate Sodium Injection,Injection,"Methotrexate Preservative Free, Injection, 1 g (NDC 63323-122-50)","Fresenius Kabi USA, LLC",2023-03-13,2026-04-02,,Available,Current,Unavailable,"Rheumatology, Oncology",Reverified,Check wholesaler for inventory,0,5,1,14,2.70805020110221,False,False
63323-488-17,"Epinephrine Bitartrate, Lidocaine Hydrochloride Injection",Injection,"Xylocaine, Injection, .005 mg/1 mL; 15 mg/1 mL (NDC 63323-488-17)","Fresenius Kabi USA, LLC",2016-10-14,2026-04-02,,Available,Current,Unavailable,"Anesthesia, Pediatric",Reverified,Check wholesalers for inventory,0,2,1,22,3.1354942159291497,False,False
63323-287-21,Ropivacaine Hydrochloride Injection,Injection,"Naropin, Injection, 7.5 mg/1 mL (NDC 63323-287-21)","Fresenius Kabi USA, LLC",2018-03-23,2026-04-02,,Available,Current,Unavailable,Anesthesia,Reverified,Check wholesalers for inventory,0,5,1,46,3.8501476017100584,False,False
65219-570-04,Bumetanide Injection,Injection,"Bumetanide, Injection, .25 mg/1 mL (NDC 65219-570-04)","Fresenius Kabi USA, LLC",2018-01-31,2026-04-02,,Available,Current,Unavailable,Cardiovascular,Reverified,Check wholesalers for inventory,0,5,1,12,2.5649493574615367,False,False
76045-004-11,Morphine Sulfate Injection,Injection,"Morphine Sulfate, Injection, 2 mg/1 mL (NDC 76045-004-11)","Fresenius Kabi USA, LLC",2017-10-31,2026-04-02,,Unavailable,Current,Other,Analgesia/Addiction,Reverified,Next release May 2026. Check wholesalers for inventory.,1,5,1,25,3.258096538021482,False,False
65219-442-05,Rocuronium Bromide Injection,Injection,"Rocuronium Bromide, Injection, 10 mg/1 mL (NDC 65219-442-05)","Fresenius Kabi USA, LLC",2023-02-15,2026-04-02,,Available,Current,Unavailable,Anesthesia,Reverified,Check wholesalers for inventory,0,11,1,26,3.295836866004329,False,False
63323-481-57,"Epinephrine Bitartrate, Lidocaine Hydrochloride Injection",Injection,"Xylocaine, Injection, .005 mg/1 mL; 5 mg/1 mL (NDC 63323-481-57)","Fresenius Kabi USA, LLC",2016-10-14,2026-04-02,,Available,Current,Unavailable,"Anesthesia, Pediatric",Reverified,Check wholesalers for inventory,0,2,1,22,3.1354942159291497,False,False
63323-483-57,"Epinephrine Bitartrate, Lidocaine Hydrochloride Injection",Injection,"Xylocaine, Injection, .01 mg/1 mL; 20 mg/1 mL (NDC 63323-483-57)","Fresenius Kabi USA, LLC",2016-10-14,2026-04-02,,Available,Current,Unavailable,"Anesthesia, Pediatric",Reverified,Check wholesalers for inventory,0,2,1,22,3.1354942159291497,False,False
63323-851-15,Hydromorphone Hydrochloride Injection,Injection,"Hydromorphone Hydrochloride, Injection, 10 mg/1 mL (NDC 63323-851-15)","Fresenius Kabi USA, LLC",2017-10-31,2026-04-02,,Unavailable,Current,Other,Analgesia/Addiction,Reverified,Expected recovery: TBD,1,4,1,26,3.295836866004329,False,False
47781-178-01,"Amphetamine Aspartate Monohydrate, Amphetamine Sulfate, Dextroamphetamine Saccharate, Dextroamphetamine Sulfate Tablet",Tablet,"Dextroamp Saccharate, Amp Aspartate, Dextroamp Sulfate And Amp Sulfate, Tablet, 15mg (NDC 47781-178-01)",Alvogen,2022-10-12,2026-04-02,,Available,Current,Unavailable,Psychiatry,Reverified,,0,11,1,73,4.30406509320417,True,False
47781-174-01,"Amphetamine Aspartate Monohydrate, Amphetamine Sulfate, Dextroamphetamine Saccharate, Dextroamphetamine Sulfate Tablet",Tablet,"Dextroamp Saccharate, Amp Aspartate, Dextroamp Sulfate And Amp Sulfate, Tablet, 5mg (NDC 47781-174-01)",Alvogen,2022-10-12,2026-04-02,,Available,Current,Unavailable,Psychiatry,Reverified,,0,11,1,73,4.30406509320417,True,False
65219-458-30,Dextrose Monohydrate 5% Injection,Injection,"Dextrose 5% In Plastic Container, Injection, 50 mg/1 mL (NDC 65219-458-30)","Fresenius Kabi USA, LLC",2022-02-14,2026-04-02,,Available,Current,Unavailable,"Endocrinology/Metabolism, Gastroenterology, Other, Pediatric",Reverified,Check wholesalers for inventory,0,4,1,36,3.6109179126442243,False,False
