package_ndc,generic_name,dosage_form,presentation,company_name,initial_posting_date,update_date,discontinued_date,availability,status,shortage_reason,therapeutic_category,update_type,related_info,shortage,manufacturer_count,shortage_frequency,drug_shortage_frequency,log_drug_freq,complexity_Low,complexity_Medium,generic_clean,ingredient_clean,true_manufacturer_count,log_manufacturer_count,prev_shortage_date,days_since_last_shortage_x,log_days_since_last_shortage,days_since_last_shortage_y,days_since_last_shortage,rolling_shortage_12m,log_rolling_shortage_12m,future_shortage,approval_year,drug_age,reason_manufacturing,reason_quality,reason_demand,reason_unknown,manufacturer_risk,category_demand_score_x,is_injectable,is_tablet,is_capsule,manufacturer_risk_scaled,category_demand_score_y,category_demand_score
0472-0803-04,Desonide Lotion,lotion,"Desowen, Lotion, .5 mg/1 mL (NDC 0472-0803-04)","Actavis Pharma, Inc.",2025-09-18,2025-09-18,2025-09-18,,To Be Discontinued,unavailable,Dermatology,New,Discontinuation of the manufacture of the drug.,0,1,1,2,1.0986122886681098,False,True,DESONIDE LOTION,,1.0,0.6931471805599453,,9999.0,9.210340371976184,9999.0,9999.0,0,0.0,0,2025,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0
0228-2837-11,Pilocarpine Hydrochloride Tablet,tablet,"Salagen, Tablet, 7.5 mg (NDC 0228-2837-11)","Actavis Pharma, Inc.",2025-09-19,2025-09-19,2025-09-19,,To Be Discontinued,unavailable,Other,New,Discontinuation of the manufacture of the drug.,0,1,1,2,1.0986122886681098,True,False,PILOCARPINE HYDROCHLORIDE,PILOCARPINE HYDROCHLORIDE,13.0,2.6390573296152584,,9999.0,9.210340371976184,9999.0,9999.0,0,0.0,0,2025,0,0,0,0,0,0.0,0.21428571428571427,0,1,0,0.0,0.21428571428571427,0.21428571428571427
0228-2853-11,"Guanfacine Hydrochloride Tablet, Extended Release",tablet,"Guanfacine Hydrochloride, Tablet, Extended Release, 3 mg (NDC 0228-2853-11)","Actavis Pharma, Inc.",2025-11-13,2025-11-13,2025-11-13,,To Be Discontinued,unavailable,Psychiatry,New,A business decision was made to discontinue manufacture of the drug.,0,1,1,4,1.6094379124341005,True,False,GUANFACINE HYDROCHLORIDE,GUANFACINE HYDROCHLORIDE,19.0,2.995732273553991,,9999.0,9.210340371976184,9999.0,9999.0,0,0.0,0,2025,0,0,0,0,0,0.0,0.358974358974359,0,1,0,0.0,0.358974358974359,0.358974358974359
66215-102-03,Bosentan Tablet,tablet,"Tracleer, Tablet, 125 mg (NDC 66215-102-03)",Actelion Pharmaceuticals,2025-06-09,2025-06-09,2025-06-09,,To Be Discontinued,unavailable,Cardiovascular,New,,0,1,1,2,1.0986122886681098,True,False,BOSENTAN,BOSENTAN,5.0,1.791759469228055,,9999.0,9.210340371976184,9999.0,9999.0,0,0.0,0,2025,0,0,0,0,0,0.0,0.19135802469135801,0,1,0,0.0,0.19135802469135801,0.19135802469135801
66993-212-38,Nilutamide Tablet,tablet,"Nilandron, Tablet, 150 mg (NDC 66993-212-38)",Advanz Pharma (US) Corp.,2025-12-01,2025-12-01,2025-12-01,,To Be Discontinued,unavailable,Oncology,New,Product to expire in March 2026; Discontinuation of the manufacture of the drug,0,1,1,2,1.0986122886681098,True,False,NILUTAMIDE,NILUTAMIDE,2.0,1.0986122886681098,,9999.0,9.210340371976184,9999.0,9999.0,0,0.0,0,2025,0,0,0,0,0,0.0,0.27586206896551724,0,1,0,0.0,0.27586206896551724,0.27586206896551724
59212-001-02,Phenoxybenzamine Hydrochloride Capsule,capsule,"Dibenzyline, Capsule, 10 mg (NDC 59212-001-02)",Advanz Pharma (US) Corp.,2025-12-01,2025-12-01,2025-12-01,,To Be Discontinued,unavailable,Cardiovascular,New,Discontinuation of the manufacture of the drug,0,1,1,3,1.3862943611198906,True,False,PHENOXYBENZAMINE HYDROCHLORIDE,PHENOXYBENZAMINE HYDROCHLORIDE,5.0,1.791759469228055,,9999.0,9.210340371976184,9999.0,9999.0,0,0.0,0,2025,0,0,0,0,0,0.0,0.19135802469135801,0,0,1,0.0,0.19135802469135801,0.19135802469135801
81665-104-96,Cromolyn Sodium Concentrate,concentrate,"Cromolyn Sodium, Concentrate, 100 mg/5 mL (NDC 81665-104-96)",Ailex Pharmaceuticals,2023-11-03,2026-03-02,,Available,Current,unavailable,Pulmonary/Allergy,Reverified,Distributed by Omnivium Pharmaceuticals LLC (888) 807-9195,0,4,1,4,1.6094379124341005,False,True,CROMOLYN SODIUM,CROMOLYN SODIUM,10.0,2.3978952727983707,2023-11-03,0.0,9.210340371976184,9999.0,9999.0,0,0.0,1,2023,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0
62332-600-25,Ketorolac Tromethamine Injection,injection,"Ketorolac Tromethamine, Injection, 30 mg/1 mL (NDC 62332-600-25)",Alembic Pharmaceuticals,2018-03-23,2025-09-17,,Available,Current,unavailable,Analgesia/Addiction,Reverified,,0,7,1,25,3.258096538021482,False,False,KETOROLAC TROMETHAMINE,KETOROLAC TROMETHAMINE,23.0,3.1780538303479458,2018-03-23,0.0,9.210340371976184,9999.0,9999.0,0,0.0,0,2018,0,0,0,0,0,0.0,0.4608695652173913,1,0,0,0.0,0.4608695652173913,0.4608695652173913
47781-176-01,"Amphetamine Aspartate Monohydrate, Amphetamine Sulfate, Dextroamphetamine Saccharate, Dextroamphetamine Sulfate Tablet",tablet,"Dextroamp Saccharate, Amp Aspartate, Dextroamp Sulfate And Amp Sulfate, Tablet, 10mg (NDC 47781-176-01)",Alvogen,2022-10-12,2026-04-02,,Available,Current,unavailable,Psychiatry,Reverified,,0,11,1,73,4.30406509320417,True,False,AMPHETAMINE ASPARTATE MONOHYDRATE,,1.0,0.6931471805599453,,9999.0,9.210340371976184,9999.0,9999.0,0,0.0,0,2022,0,0,0,0,0,0.0,0.358974358974359,0,1,0,0.0,0.358974358974359,0.358974358974359
47781-564-01,Lisdexamfetamine Dimesylate Capsule,capsule,"Lisdexamfetamine Dimesylate, Capsule, 30 mg (NDC 47781-564-01)",Alvogen,2023-07-14,2026-04-02,,Available,Current,unavailable,Psychiatry,Reverified,,0,13,1,90,4.51085950651685,True,False,LISDEXAMFETAMINE DIMESYLATE,LISDEXAMFETAMINE DIMESYLATE,20.0,3.044522437723423,,9999.0,9.210340371976184,9999.0,9999.0,0,0.0,0,2023,0,0,0,0,0,0.3333333333333333,0.358974358974359,0,0,1,1.0148408125744743,0.358974358974359,0.358974358974359
0517-4810-25,Nitroglycerin Injection,injection,"Nitroglycerin, Injection, 5 mg/1 mL (NDC 0517-4810-25)","American Regent, Inc.",2023-10-06,2025-12-15,,,Resolved,unavailable,Cardiovascular,Revised,,0,2,1,4,1.6094379124341005,False,False,NITROGLYCERIN,NITROGLYCERIN,22.0,3.1354942159291497,2023-10-06,0.0,9.210340371976184,9999.0,9999.0,0,0.0,0,2023,0,0,0,0,0,0.0,0.19135802469135801,1,0,0,0.0,0.19135802469135801,0.19135802469135801
55513-800-60,Ivabradine Hydrochloride Tablet,tablet,"Corlanor, Tablet, eq. 5 mg base (NDC 55513-800-60)",Amgen Inc.,2026-03-24,2026-03-24,2026-01-01,,To Be Discontinued,unavailable,Cardiovascular,New,Discontinuation of the manufacture of the drug product,0,1,1,2,1.0986122886681098,True,False,IVABRADINE HYDROCHLORIDE,IVABRADINE HYDROCHLORIDE,6.0,1.9459101490553132,,9999.0,9.210340371976184,9999.0,9999.0,0,0.0,0,2026,0,0,0,0,0,0.0,0.19135802469135801,0,1,0,0.0,0.19135802469135801,0.19135802469135801
70121-1573-5,Methylprednisolone Acetate Injection,injection,"Methylprednisolone Acetate, Injection, 40 mg/1 mL (NDC 70121-1573-5)",Amneal Pharmaceuticals,2021-12-15,2026-02-09,,Available,Current,unavailable,Rheumatology,Revised,Currently product is under backorder as per current demand. Next supply: week of 02/09/2026,0,5,1,23,3.1780538303479458,False,False,METHYLPREDNISOLONE ACETATE,METHYLPREDNISOLONE ACETATE,10.0,2.3978952727983707,2021-12-15,0.0,9.210340371976184,9999.0,9999.0,0,0.0,0,2021,0,0,0,0,0,0.0,0.11428571428571428,1,0,0,0.0,0.11428571428571428,0.11428571428571428
76329-3390-1,Lidocaine Hydrochloride Injection,injection,"Lidocaine Hydrochloride, Injection, 20 mg/1 mL (NDC 76329-3390-1)","Amphastar Pharmaceuticals, Inc.",2012-02-22,2026-03-23,,Available,Current,unavailable,"Anesthesia, Pediatric",Reverified,old NDC 0548-3390-00,0,10,1,70,4.262679877041316,False,False,LIDOCAINE HYDROCHLORIDE,LIDOCAINE HYDROCHLORIDE,28.0,3.367295829986474,2012-02-22,0.0,9.210340371976184,9999.0,9999.0,0,0.0,0,2012,0,0,0,0,0,0.0,0.2835820895522388,1,0,0,0.0,0.2835820895522388,0.2835820895522388
76329-3352-1,Sodium Bicarbonate Injection,injection,"Sodium Bicarbonate, Injection, 84 mg/1 mL (NDC 76329-3352-1)","Amphastar Pharmaceuticals, Inc.",2017-03-01,2026-04-02,,Available,Current,unavailable,"Endocrinology/Metabolism, Gastroenterology, Pediatric",Reverified,,0,5,1,19,2.995732273553991,False,False,SODIUM BICARBONATE,SODIUM BICARBONATE,9.0,2.302585092994046,,9999.0,9.210340371976184,9999.0,9999.0,0,0.0,1,2017,0,0,0,0,0,0.0,0.5294117647058824,1,0,0,0.0,0.5294117647058824,0.5294117647058824
76329-8261-1,Lorazepam Injection,injection,"Lorazepam, Injection, 2 mg/1 mL (NDC 76329-8261-1)","Amphastar Pharmaceuticals, Inc.",2018-05-03,2026-04-02,,Limited Availability,Current,demand increase for the drug,Neurology,Reverified,Limited Availability,1,4,1,11,2.4849066497880004,False,False,LORAZEPAM,LORAZEPAM,17.0,2.8903717578961645,2018-05-03,0.0,9.210340371976184,9999.0,9999.0,0,0.0,1,2018,0,0,0,1,0,0.3333333333333333,0.2,1,0,0,0.9634572526320548,0.2,0.2
76329-1912-1,Morphine Sulfate Injection,injection,"Morphine Sulfate, Injection, 1 mg/1 mL (NDC 76329-1912-1)","Amphastar Pharmaceuticals, Inc.",2018-12-06,2026-04-02,,Available,Current,unavailable,Analgesia/Addiction,Reverified,,0,5,1,25,3.258096538021482,False,False,MORPHINE SULFATE,MORPHINE SULFATE,17.0,2.8903717578961645,2017-11-03,398.0,5.988961416889864,398.0,398.0,0,0.0,0,2018,0,0,0,0,0,0.25,0.4608695652173913,1,0,0,0.7225929394740411,0.4608695652173913,0.4608695652173913
76329-3302-1,Dextrose Monohydrate 50% Injection,injection,"Dextrose Monohydrate 50%, Injection, 25 g/50 mL (NDC 76329-3302-1)","Amphastar Pharmaceuticals, Inc.",2022-01-13,2026-04-02,,Limited Availability,Current,demand increase for the drug,"Endocrinology/Metabolism, Gastroenterology, Pediatric",Reverified,Avaiable on allocation,1,2,1,5,1.791759469228055,False,False,DEXTROSE MONOHYDRATE,,1.0,0.6931471805599453,,9999.0,9.210340371976184,9999.0,9999.0,0,0.0,1,2022,0,0,0,1,0,0.3333333333333333,0.5294117647058824,1,0,0,0.23104906018664842,0.5294117647058824,0.5294117647058824
60505-0815-0,Desmopressin Acetate Spray,spray,"Desmopressin Acetate (needs No Refrigeration), Spray, 10 ug (NDC 60505-0815-0)",Apotex Corp.,2021-03-12,2026-03-17,,Unavailable,Current,delay in shipping of the drug,Hematology,Revised,Next replenishment expected late March 2026,1,2,1,4,1.6094379124341005,False,True,DESMOPRESSIN ACETATE SPRAY,,1.0,0.6931471805599453,,9999.0,9.210340371976184,9999.0,9999.0,0,0.0,1,2021,0,0,0,0,0,1.0,0.3125,0,0,0,0.6931471805599453,0.3125,0.3125
60505-4739-1,Lisdexamfetamine Dimesylate Capsule,capsule,"Lisdexamfetamine Dimesylate, Capsule, 10 mg (NDC 60505-4739-1)",Apotex Corp.,2023-11-01,2026-04-02,,Available,Current,unavailable,Psychiatry,Reverified,,0,13,1,90,4.51085950651685,True,False,LISDEXAMFETAMINE DIMESYLATE,LISDEXAMFETAMINE DIMESYLATE,20.0,3.044522437723423,2023-09-20,42.0,3.7612001156935624,42.0,42.0,2,1.0986122886681098,0,2023,0,0,0,0,0,0.5,0.358974358974359,0,0,1,1.5222612188617115,0.358974358974359,0.358974358974359
60429-005-12,Icosapent Ethyl Capsule,capsule,"Icosapent Ethyl, Capsule, 1 g (NDC 60429-005-12)",Apotex Corp.,2026-04-01,2026-04-01,2026-04-01,,To Be Discontinued,unavailable,Cardiovascular,New,Discontinuation of the manufacture of the drug,0,1,1,2,1.0986122886681098,True,False,ICOSAPENT ETHYL,ICOSAPENT ETHYL,12.0,2.5649493574615367,,9999.0,9.210340371976184,9999.0,9999.0,0,0.0,0,2026,0,0,0,0,0,0.1111111111111111,0.19135802469135801,0,0,1,0.28499437305128184,0.19135802469135801,0.19135802469135801
72485-201-01,Azacitidine Injection,injection,"Azacitidine, Injection, 100 mg (NDC 72485-201-01)",Armas Pharmaceuticals Inc,2020-12-18,2026-02-18,,Available,Current,unavailable,Oncology,Reverified,,0,9,1,9,2.302585092994046,False,False,AZACITIDINE,AZACITIDINE,16.0,2.833213344056216,2020-12-18,0.0,9.210340371976184,9999.0,9999.0,0,0.0,0,2020,0,0,0,0,0,0.0,0.27586206896551724,1,0,0,0.0,0.27586206896551724,0.27586206896551724
82497-010-04,Methotrexate Injection,injection,"Otrexup, Injection, 10 mg/.4 mL (NDC 82497-010-04)","Assertio Specialty Pharmaceuticals, LLC",2025-08-29,2025-08-29,2025-08-29,,To Be Discontinued,unavailable,Rheumatology,New,Discontinuation of the manufacture of the drug,0,1,1,7,2.079441541679836,False,False,METHOTREXATE,METHOTREXATE,2.0,1.0986122886681098,,9999.0,9.210340371976184,9999.0,9999.0,0,0.0,0,2025,0,0,0,0,0,0.0,0.11428571428571428,1,0,0,0.0,0.11428571428571428,0.11428571428571428
0310-6627-02,Pramlintide Acetate Injection,injection,"SymlinPen® 120 , Injection, 1000 ug/1 mL (NDC 0310-6627-02)",AstraZeneca AB,2025-10-27,2025-10-27,2025-10-27,,To Be Discontinued,unavailable,Endocrinology/Metabolism,New,Discontinuation of the manufacture of the drug.,0,1,1,2,1.0986122886681098,False,False,PRAMLINTIDE ACETATE,,1.0,0.6931471805599453,,9999.0,9.210340371976184,9999.0,9999.0,0,0.0,0,2025,0,0,0,0,0,0.0,0.043478260869565216,1,0,0,0.0,0.043478260869565216,0.043478260869565216
65862-617-90,Quinapril Hydrochloride Tablet,tablet,"Quinapril Hydrochloride, Tablet, 5 mg (NDC 65862-617-90)",Aurobindo Pharma USA,2023-01-19,2025-10-15,,Unavailable,Current,discontinuation of the manufacture of the drug,Cardiovascular,Reverified,Discontinuation of the manufacture of the drug,1,5,1,20,3.044522437723423,True,False,QUINAPRIL HYDROCHLORIDE,QUINAPRIL HYDROCHLORIDE,4.0,1.6094379124341003,2023-01-19,0.0,9.210340371976184,9999.0,9999.0,0,0.0,1,2023,0,1,0,0,0,1.0,0.19135802469135801,0,1,0,1.6094379124341003,0.19135802469135801,0.19135802469135801
65862-163-90,Quinapril/Hydrochlorothiazide Tablet,tablet,"Quinapril Hydrochloride And Hydrochlorothiazide, Tablet, 25 mg; 20 mg (NDC 65862-163-90)",Aurobindo Pharma USA,2023-01-19,2025-10-15,,Unavailable,Current,discontinuation of the manufacture of the drug,Cardiovascular,Reverified,Discontinuation of the manufacture of the drug,1,2,1,6,1.9459101490553128,True,False,QUINAPRIL/HYDROCHLOROTHIAZIDE,,1.0,0.6931471805599453,2023-01-19,0.0,9.210340371976184,9999.0,9999.0,0,0.0,1,2023,0,1,0,0,0,1.0,0.19135802469135801,0,1,0,0.6931471805599453,0.19135802469135801,0.19135802469135801
65862-062-99,Metoprolol Tartrate Tablet,tablet,"Metoprolol Tartrate, Tablet, 25 mg (NDC 65862-062-99)",Aurobindo Pharma USA,2025-06-03,2025-06-03,2025-06-03,,To Be Discontinued,unavailable,Cardiovascular,New,Permanent discontinuation in the manufacturing of the drug,0,1,1,8,2.19722457733622,True,False,METOPROLOL TARTRATE,METOPROLOL TARTRATE,17.0,2.8903717578961645,,9999.0,9.210340371976184,9999.0,9999.0,0,0.0,0,2025,0,0,0,0,0,0.6111111111111112,0.19135802469135801,0,1,0,1.7663382964921006,0.19135802469135801,0.19135802469135801
23155-600-41,Midazolam Hydrochloride Injection,injection,"Midazolam Hydrochloride, Injection, 1 mg/1 mL (NDC 23155-600-41)","Avet Pharmaceuticals, Inc.",2020-04-02,2026-03-16,,Unavailable,Current,demand increase for the drug,"Anesthesia, Neurology",Revised,Logistic delay due to geopolitical situation. Estimated availability: 5/25/2026,1,6,1,30,3.4339872044851463,False,False,MIDAZOLAM HYDROCHLORIDE,MIDAZOLAM HYDROCHLORIDE,9.0,2.302585092994046,2020-04-02,0.0,9.210340371976184,9999.0,9999.0,0,0.0,0,2020,0,0,0,1,0,1.0,0.3103448275862069,1,0,0,2.302585092994046,0.3103448275862069,0.3103448275862069
23155-578-01,Desipramine Hydrochloride Tablet,tablet,"Desipramine Hydrochloride, Tablet, 10 mg (NDC 23155-578-01)","Avet Pharmaceuticals, Inc.",2025-08-12,2025-08-12,2025-08-12,,To Be Discontinued,unavailable,Psychiatry,New,Discontinuation of the manufacture of the drug,0,1,1,6,1.9459101490553128,True,False,DESIPRAMINE HYDROCHLORIDE,DESIPRAMINE HYDROCHLORIDE,6.0,1.9459101490553132,,9999.0,9.210340371976184,9999.0,9999.0,0,0.0,0,2025,0,0,0,0,0,0.3,0.358974358974359,0,1,0,0.583773044716594,0.358974358974359,0.358974358974359
0264-9594-10,Lidocaine Hydrochloride Injection,injection,"Lidocaine Hydrochloride And Dextrose, Injection, 5 g/100 mL; .4 g/100 mL (NDC 0264-9594-10)",B. Braun Medical Inc.,2017-10-25,2026-03-19,,Available,Current,unavailable,Cardiovascular,Reverified,,0,10,1,70,4.262679877041316,False,False,LIDOCAINE HYDROCHLORIDE,LIDOCAINE HYDROCHLORIDE,28.0,3.367295829986474,2017-10-25,0.0,7.636752112435779,2072.0,2072.0,0,0.0,0,2017,0,0,0,0,0,0.0,0.19135802469135801,1,0,0,0.0,0.19135802469135801,0.19135802469135801
0264-9872-00,Heparin Sodium Injection,injection,"Heparin Sodium 2,000 Units in Sodium Chloride 0.9% in Plastic Container, Injection, 200 [USP'U]/100 mL (NDC 0264-9872-00)",B. Braun Medical Inc.,2017-11-14,2026-03-19,,Available,Current,unavailable,Hematology,Revised,,0,4,1,10,2.3978952727983707,False,False,HEPARIN SODIUM,HEPARIN SODIUM,13.0,2.6390573296152584,2017-11-14,0.0,9.210340371976184,9999.0,9999.0,0,0.0,0,2017,0,0,0,0,0,0.0,0.3125,1,0,0,0.0,0.3125,0.3125
0264-4500-05,Amino Acid Injection,injection,"Plenamine, Injection, 0.15 (NDC 0264-4500-05)",B. Braun Medical Inc.,2020-12-08,2026-03-19,,Available,Current,unavailable,Gastroenterology,Reverified,On allocation,0,3,1,16,2.833213344056216,False,False,AMINO ACID,,1.0,0.6931471805599453,2020-12-08,0.0,9.210340371976184,9999.0,9999.0,0,0.0,0,2020,0,0,0,0,0,0.0,0.08,1,0,0,0.0,0.08,0.08
0264-7510-10,Dextrose Monohydrate 5% Injection,injection,"Dextrose Monohydrate 5%, Injection, 5 g/100 mL (NDC 0264-7510-10)",B. Braun Medical Inc.,2022-02-14,2026-03-19,,Available,Current,unavailable,"Endocrinology/Metabolism, Gastroenterology, Other, Pediatric",Reverified,,0,4,1,36,3.610917912644224,False,False,DEXTROSE MONOHYDRATE,,1.0,0.6931471805599453,2022-02-14,0.0,9.210340371976184,9999.0,9999.0,0,0.0,0,2022,0,0,0,0,0,0.0,0.04,1,0,0,0.0,0.04,0.04
